<name>Godfrey</name>	Godfrey	Clayton	There is only one way to keep him in safety, and that is to chain him to a tree. The poor dear is SO impractical." "I have it!" suddenly exclaimed [MASK]. "You can use a revolver, can't you?"
<name>Dorian</name>	Dorian	Tarzan	For an hour [MASK] feasted his eyes upon her while she wrote. How he longed to speak to her, but he dared not attempt it, for he was convinced that, like the young man, she would not understand him, and he feared, too, that he might frighten her away.
<name>Bara</name>	Bara	Numa	At last the vision of a beautiful face, and the memory of warm lips crushed to his dissolved the fascinating picture he had been drawing of his old life. The ape-man threw the warm carcass of [MASK] across his shoulders and took to the trees once more.
<name>Long</name>	Long	Tarzan	The men put down their burdens, and then one caught sight of the notice which [MASK] had posted. "Ho, mates!" he cried. "What's here? This sign was not posted an hour ago or I'll eat the cook."
<name>Jim</name>	Jim	Tarzan	"This little mark," he said, "is many times larger upon this map than your cabin is upon the earth. Do you see now how very far it is?" [MASK] thought for a long time.
<name>Edna</name>	Edna	Jane	It was impossible to believe that that perfect body, so filled with triumphant life, could ever cease to harbor the vital spark--as soon believe that immortality were dust. As [MASK] permitted herself to harbor these thoughts, others equally unwelcome forced themselves upon her.
<name>Paul</name>	Paul	Tarzan	[MASK] had been surprised when he had found the girl he had learned to love after a vague and abstract manner a willing prisoner in his arms. Now he was surprised that she repulsed him. He came close to her once more and took hold of her arm.
<name>Sabor</name>	Sabor	Sabor	If he could catch his fellow apes with his long arm of many grasses, why not [MASK], the lioness? It was the germ of a thought, which, however, was destined to mull around in his conscious and subconscious mind until it resulted in magnificent achievement.
<name>Tarzan</name>	Tarzan	Tarzan	Presently his quick ears detected the familiar sound of padded feet and the brushing of a huge, fur-clad body through the undergrowth. [MASK] came quietly above the unsuspecting beast and silently stalked him until he came into a little patch of moonlight.
<name>Thumbelina</name>	Thumbelina	Tarzan	Why it spread half across his face! It certainly must be fine to be so handsome, thought poor little [MASK]. But when he saw his own eyes; ah, that was the final blow--a brown spot, a gray circle and then blank whiteness!
<name>Tarzan</name>	Tarzan	Kerchak	But [MASK] was close upon her, so close that he had almost grasped her ankle had she not made a furious leap far into space from one tree to another--a perilous chance which apes seldom if ever take, unless so closely pursued by danger that there is no alternative.
<name>Hathi</name>	Hathi	Horta	In his hand was his slender bow to which he had fitted one of his death dealing arrows. Opposite him across the little clearing stood [MASK], the boar, with lowered head and foam flecked tusks, ready to charge.
<name>Tarzan</name>	Tarzan	Tarzan	So on the following day they started north along the shore. Each man carrying a rifle and ammunition, beside bedding and some food and cooking utensils. The latter seemed to [MASK] a most useless encumbrance, so he threw his away. "
<name>Tarzan</name>	Tarzan	Tarzan	The mighty tusker turned at the sound of his falling body, and, seeing only the easy prey of a young ape, he lowered his head and charged madly at the surprised youth. [MASK], happily, was uninjured by the fall, alighting catlike upon all fours far outspread to take up the shock.
<name>Tarzan</name>	Tarzan	D'Arnot	And on the other hand she maintains that the continued absence of your omnipotent jungle friend indicates that [MASK] is still in need of his services, either because he is wounded, or still is a prisoner in a more distant native village."
<name>Jim</name>	Jim	Esmeralda	"You all don't mean to tell ME that you're going to stay right here in this here land of carnivable animals when you all got the opportunity to escapade on that boat? Don't you tell me THAT, honey." "Why, [MASK]!
<name>Jack</name>	Jack	Clayton	The man started in surprise, but with a bound was at the side of the sleeping man. Shaking him roughly by the shoulder, he cried: "My God, [MASK], are you all mad here? Don't you know you are nearly surrounded by fire?
<name>Herbert</name>	Herbert	Mirando	Again [MASK]'s shrill cry of mortal terror had caused them to look back, and there they had seen the most horrible sight--their companion's body flying upwards into the trees, his arms and legs beating the air and his tongue protruding from his open mouth.
<name>Tarzan</name>	Tarzan	Tarzan	Was not [MASK] a Man? But what did men do? He was puzzled; for he did not know. He wished that he might ask the girl, and then it came to him that she had already answered him in the futile struggle she had made to escape and to repulse him.
<name>Tom</name>	Tom	Tarzan	To [MASK] this was always a source of never-ending mystery and pleasure. He would peek into the curtained windows, or, climbing upon the roof, peer down the black depths of the chimney in vain endeavor to solve the unknown wonders that lay within those strong walls.
<name>Roger</name>	Roger	Tarzan	At length [MASK] looked up to watch the girl as she examined the locket. He could not fathom the meaning of the faces within, but he could read the interest and fascination upon the face of the live young creature by his side.
<name>Ashton</name>	Ashton	Clayton	"Don't say that. You do not understand." But before she could go on a sudden turn in the road brought them into the midst of a little hamlet. Before them stood [MASK]'s car surrounded by the party he had brought from the cottage.
<name>Tarzan</name>	Tarzan	Tarzan	As [MASK] grew he made more rapid strides, so that by the time he was ten years old he was an excellent climber, and on the ground could do many wonderful things which were beyond the powers of his little brothers and sisters.
<name>Mirando</name>	Mirando	Mirando	"You tell us this great story," he said, "because you do not dare to speak the truth. You do not dare admit that when the lion sprang upon [MASK] you ran away and left him. You are cowards."
<name>Tarzan</name>	Tarzan	Tarzan	So much had [MASK] seen that day that his head was in a whirl of wonder. But the most wonderful sight of all, to him, was the face of the beautiful white girl. Here at last was one of his own kind; of that he was positive.
<name>Tarzan</name>	Tarzan	Clayton	She turned quickly and entered the cabin. [MASK] was an Englishman, so the girl had passed quite out of sight before he deduced what reply a man would have made. "Upon my word," he said ruefully, "she called me a liar.
<name>Virginia</name>	Virginia	Jane	At her feet lay the prostrate form of the Negress. If she could but arouse her, their combined efforts might possibly avail to beat back the fierce and bloodthirsty intruder. [MASK] stooped to grasp the black woman by the shoulder. Roughly she shook her.
<name>Tarzan</name>	Tarzan	Kulonga	[MASK]'s bow and arrows were securely tied high in the top of a giant tree from which a patch of bark had been removed by a sharp knife near to the ground, and a branch half cut through and left hanging about fifty feet higher up.
<name>Tarzan</name>	Tarzan	Kerchak	As the din of the drum rose to almost deafening volume [MASK] sprang into the open space between the squatting males and the drummers. Standing erect he threw his head far back and looking full into the eye of the rising moon he beat upon his breast with his great hairy paws and emitted his fearful roaring shriek.
<name>Kerchak</name>	Kerchak	Terkoz	All the tribe have heard. Quarrel no more with your king or your people, for next time I shall kill you. Do you understand?" "HUH," assented [MASK]. "And you are satisfied?" "HUH," said the ape.
<name>Tarzan</name>	Tarzan	Tarzan	[MASK] dispatched his prisoner quickly and silently; removed the weapons and ornaments, and--oh, the greatest joy of all--a handsome deerskin breechcloth, which he quickly transferred to his own person. Now indeed was he dressed as a man should be.
<name>Tarrant</name>	Tarrant	Tarrant	"Do you mean to say that you don't intend to take a shovel, and lend a hand with this work? Your shoulder's not hurt so all-fired bad as that," said [MASK], the sailor who had before spoken.
<name>Clayton</name>	Clayton	Clayton	[MASK] was a generous and chivalrous man, but something in the girl's breathless defense of the forest man stirred him to unreasoning jealousy, so that for the instant he forgot all that they owed to this wild demi-god, and he answered her with a half sneer upon his lip.
<name>Tarzan</name>	Tarzan	Tarzan	He has gone back into his jungle and left me here alone." And then he remembered the look on [MASK]'s face when they had discovered that the cabin was empty--such a look as the hunter sees in the eyes of the wounded deer he has wantonly brought down.
<name>Long</name>	Long	D'Arnot	It had caused so much crime and suffering and sorrow that [MASK] thought it best not to attempt to bring the treasure itself on here, as had been my intention, so I have brought a letter of credit instead. "
<name>Shere Khan</name>	Shere Khan	Man	No longer was there safety for bird or beast. [MASK] had come. Other animals passed up and down the jungle by day and by night--fierce, cruel beasts--but their weaker neighbors only fled from their immediate vicinity to return again when the danger was past.
<name>Tarzan</name>	Tarzan	Tarzan	But his fangs never closed in that nut brown flesh. A muscular hand shot out and grasped the hairy throat, and another plunged a keen hunting knife a dozen times into the broad breast. Like lightning the blows fell, and only ceased when [MASK] felt the limp form crumple beneath him.
<name>Tarzan</name>	Tarzan	Kerchak	Much depended upon food supply, climatic conditions, and the prevalence of animals of the more dangerous species; though [MASK] often led them on long marches for no other reason than that he had tired of remaining in the same place.
<name>Darcy</name>	Darcy	Tarzan	She looked up at [MASK] to find him leaning toward her gazing on the miniatures with an expression of astonishment. He reached out his hand for the locket and took it away from her, examining the likenesses within with unmistakable signs of surprise and new interest.
<name>Kerchak</name>	Kerchak	Kerchak	The sight that met his eyes must have frozen him with horror, for there, within the door, stood three great bull apes, while behind them crowded many more; how many he never knew, for his revolvers were hanging on the far wall beside his rifle, and [MASK] was charging.
<name>Tarzan</name>	Tarzan	Tarzan	Not so, however, with [MASK], the man-child. His life amidst the dangers of the jungle had taught him to meet emergencies with self-confidence, and his higher intelligence resulted in a quickness of mental action far beyond the powers of the apes.
<name>Virginia</name>	Virginia	Jane	[MASK] would have begged for a further reprieve, had it not been that she too had begun to believe that her forest lover would return no more. In spite of herself she began to entertain doubts and fears. The reasonableness of the arguments of these disinterested French officers commenced to convince her against her will.
<name>Tarzan</name>	Tarzan	D'Arnot	[MASK] shook his head. He was unconvinced, and in his mind had sprung the determination to prove the correctness of his theory, for he had discovered the key which alone could unlock the mystery, or consign it forever to the realms of the unfathomable.
<name>Tarzan</name>	Tarzan	Tarzan	The greater strength of the ape was slowly prevailing, and the teeth of the straining beast were scarce an inch from [MASK]'s throat when, with a shuddering tremor, the great body stiffened for an instant and then sank limply to the ground.
<name>Tarzan</name>	Tarzan	Tarzan	For a moment the two eyed each other in silence, and then the great cat turned into the jungle, which swallowed her as the ocean engulfs a tossed pebble. But into the mind of [MASK] a great plan sprang.
<name>Tarzan</name>	Tarzan	D'Arnot	This is the first time I have spoken with another of my kind through written words. [MASK] was mystified. It seemed incredible that there lived upon earth a full-grown man who had never spoken with a fellow man, and still more preposterous that such a one could read and write.
<name>Clayton</name>	Clayton	Clayton	His tones were no longer those of the erudite pedant theorizing upon the abstract and the unknowable; but those of the man of action--determined, but tinged also by a note of indescribable hopelessness and grief which wrung an answering pang from [MASK]'s heart.
<name>Tarzan</name>	Tarzan	Tarzan	[MASK], an interested spectator of all that had taken place, sat speculating on the strange actions of these peculiar creatures. Men were indeed more foolish and more cruel than the beasts of the jungle! How fortunate was he who lived in the peace and security of the great forest!
