<name>Feyd-Rautha</name>	Feyd-Rautha	Paul	“Majesty,” [MASK] said, “your force is reduced by one more. Shall we now shed sham and pretense? Shall we now discuss what must be? Your daughter wed to me and the way opened for an Atreides to sit on the throne.”
<name>Ender</name>	Ender	Paul	“Let go of me,” he said. She heard the iron in his voice, obeyed. “Do you want to tell me what’s wrong, [MASK]?” “Did you know what you were doing when you trained me?” he asked.
<name>Paul</name>	Paul	Jessica	He slipped his robe and hood from his shoulders, handed them to his mother with his belt and crysknife, began unstrapping his stillsuit. He sensed now that the universe focused on this moment. “There’s no need for this,” [MASK] said.
<name>Gregory</name>	Gregory	Yueh	Then, what deafness may we not all possess? What senses do we lack that we cannot see and cannot hear another world all around us? What is there around us that we cannot—’” “Stop it!” [MASK] barked.
<name>Muad'Dib</name>	Muad'Dib	MUAD'DIB	And when it has gone past me I will turn to see fear’s path. Where the fear has gone there will be nothing. Only I will remain.” What do you despise? By this are you truly known. — FROM "MANUAL OF [MASK]" BY THE PRINCESS iRULAN
<name>Asimov</name>	Asimov	Jessica	Could I____” “He is unconscious,” [MASK] said. “The processes of his life are so low that they can be detected only with the most refined techniques. I shudder to think what could have happened had I not been the one to discover him.
<name>Paul</name>	Paul	Paul	His legs were remote and rubbery. They entered a narrow side passage, its walls dimly lighted by spaced-out glowglobes. [MASK] felt the drug beginning to have its unique effect on him, opening time like a flower.
<name>Paul</name>	Paul	Paul	And [MASK] knew his leadership suffered from the omnipresent knowledge of this difference between them. He had not ridden the maker. Oh, he’d gone up with the others for training trips and raids, but he had not made his own voyage.
<name>Leto</name>	Leto	Paul	Did he need a wife? She realized she could step into that place with him. It would be one way to end conflict over tribal leadership-female properly aligned with male. But what of [MASK] then? Who could tell yet what rules of parenthood prevailed here?
<name>Odysseus</name>	Odysseus	Stilgar	He says himself that he does not. Do I rule? Even [MASK] does my bidding on occasion, and the sages, the wisest of the wise, listen to me and honor me in Council.” There was shuffling silence among the crowd.
<name>Donatella</name>	Donatella	Jessica	She looked at him, said: “I do believe I’ll eat something now. I’d like some of that bird dish you served earlier.” [MASK] signaled a servant, turned to the banker: “And you, sir, were speaking of birds earlier and of their habits.
<name>Kynes</name>	Kynes	Idaho	“We’re already working on it, my Lord.” He cleared his throat. “Ah-h, [MASK] did say one thing: he said you couldn’t mistake the Fremen attitude toward shields. He said they were mostly amused by them.”
<name>God</name>	God	Yueh	“The drug was timed,” he rumbled. “We knew to the minute when you’d be coming out of it.” How could that be? she wondered. They’d have to know my exact weight, my metabolism, my.... [MASK]!
<name>Ryder</name>	Ryder	Paul	“I understand,” she said. “Ready?” “Ready.” She tensed her fingers on the strap. With one surge, [MASK] had her half out of the hole, holding her head up as the foam barrier gave way and sand spilled down.
<name>Montag</name>	Montag	Paul	You press the edge—thus, and so... and the charge moves ahead one page at a time as you read. Never touch the actual pages with your fingers. The filament tissue is too delicate.” He closed the book, handed it to [MASK].
<name>He</name>	He	Paul	“Don’t you understand?” he asked. “Everything we need to survive in this place is under that sand.” “You found me,” she said, and now her voice was soft, reasonable. [MASK] squatted back on his heels.
<name>Case</name>	Case	Paul	[MASK] pulled his hood down over his eyes, listened to the bug-hustling sounds of the night. His lungs were charged with his own silence. His nose itched. He rubbed it, removed the filter and grew conscious of the rich smell of cinnamon.
<name>Duncan</name>	Duncan	Paul	“Now I say guard yourself for true!” He leaped high to one side, then forward, pressing a furious attack. [MASK] fell back, parrying. He felt the field crackling as shield edges touched and repelled each other, sensed the electric tingling of the contact along his skin.
<name>Leto</name>	Leto	Nefud	Who else do I have who could take the reins I must leave someday? I have no other as capable. But he must learn! And I must preserve myself while he’s learning. [MASK] signaled men to assist him, led them out the door.
<name>Paul</name>	Paul	Jessica	There was a hole somewhere, more of the storm’s doing. “Better set us down on sand,” [MASK] said. “The wings might not take full brake.” He nodded toward a place ahead where sandblasted ridges lifted into moonlight above the dunes.
<name>country</name>	country	Fremen	But the test of a man isn’t what you think he’ll do. It’s what he actually does. These city people have [MASK] blood. It’s just that they haven’t yet learned how to escape their bondage. We’ll teach them.”
<name>Paul</name>	Paul	Paul	“Let us think of this as a misunderstanding among old friends,” she said, and [MASK] heard the soothers, the adjusting tones in her voice. “It’s over and we can be thankful we’ll never again have that sort of misunderstanding between us.”
<name>Rainsford</name>	Rainsford	Paul	Slowly, the hole went down, reaching a level even with the floor of the basin and still no sign of the pack. Could I have miscalculated? [MASK] asked himself. I’m the one that panicked originally and caused this mistake. Has that warped my ability?
<name>Paul</name>	Paul	Paul	Then it was gone, coursing off to the left. The sound diminished, died. “I’ve seen space frigates that were smaller,” [MASK] whispered. She nodded, continuing to stare across the desert. Where the worm had passed there remained that tantalizing gap.
<name>Kynes</name>	Kynes	Hawat	“This is a carryall,” [MASK] said. “It’s essentially a large ’thop-ter, whose sole function is to deliver a factory to spice-rich sands, then to rescue the factory when a sandworm appears. They always appear.
<name>Paul</name>	Paul	Wellington	“If you’ll excuse me, [MASK], I want another look through this wing before I assign quarters.” He nodded. “Of course.” And he thought: If only there were sutne way not to do this thing that I must do.
<name>Paul</name>	Paul	Gurney	“Step back out of my way.” [MASK] spoke to her: “Why is he doing this? Does he think to get himself killed and achieve martyrdom? This Fremen religious prattle, is that what clouds his reason?”
